what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605443313860
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1605443314023
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605443314106
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605443315973
deactivated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605443316848
activated,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605443317718
closed,view,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.PackageExplorer",1605443317888
closed,view,org.eclipse.debug.ui,3.14.500.v20200520-0842,"org.eclipse.debug.ui.DebugView",1605443318026
closed,view,org.eclipse.ui.navigator.resources,3.7.300.v20200417-1241,"org.eclipse.ui.navigator.ProjectExplorer",1605443318084
closed,view,org.eclipse.jdt.debug.ui,3.11.0.v20200525-2012,"org.eclipse.jdt.debug.ui.DisplayView",1605443318132
closed,view,org.eclipse.search,3.11.1000.v20200410-1852,"org.eclipse.search.ui.views.SearchView",1605443318150
closed,view,org.eclipse.ui.ide,3.17.100.v20200530-0835,"org.eclipse.ui.views.ProblemView",1605443318190
closed,view,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui.executablesView",1605443318206
closed,view,org.eclipse.ui.console,3.9.200.v20200511-1122,"org.eclipse.ui.console.ConsoleView",1605443318228
closed,view,org.eclipse.debug.ui,3.14.500.v20200520-0842,"org.eclipse.debug.ui.VariableView",1605443318253
closed,view,org.eclipse.debug.ui,3.14.500.v20200520-0842,"org.eclipse.debug.ui.ExpressionView",1605443318272
closed,view,org.eclipse.debug.ui,3.14.500.v20200520-0842,"org.eclipse.debug.ui.BreakpointView",1605443318303
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605443318323
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605443318418
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605443318436
closed,editor,org.eclipse.jdt.ui,3.21.100.v20200602-0959,"org.eclipse.jdt.ui.CompilationUnitEditor",1605443318466
closed,workbench,org.eclipse.ui.workbench,3.119.0.v20200521-1247,"",1605443318922
stopped,bundle,org.eclipse.m2e.logback.configuration,1.16.0.20200318-1040,"org.eclipse.m2e.logback.configuration",1605443320545
stopped,bundle,org.springframework.ide.eclipse.boot.dash,3.9.14.202007241544-CI-B2599,"org.springframework.ide.eclipse.boot.dash",1605443320571
stopped,bundle,org.springframework.ide.eclipse.boot.restart,3.9.14.202007241544-CI-B2599,"org.springframework.ide.eclipse.boot.restart",1605443320571
stopped,bundle,org.springframework.ide.eclipse.boot.launch,3.9.14.202007241544-CI-B2599,"org.springframework.ide.eclipse.boot.launch",1605443320571
